"","1","2","3","4","5","6","7","1","2","3","4","5","6","7"
"1",0.0243,0.9554,NA,NA,0.01841,NA,0.00189,0.024,0.956,0,0,0.018,0,0.002
"2",0.01025,0.97012,NA,NA,0.01591,0.00198,0.00174,0.01,0.97,0,0,0.016,0.002,0.002
"3",0.00987,0.99013,NA,NA,NA,NA,NA,0.01,0.99,0,0,0,0,0
"4",0.1184,0.24658,NA,NA,0.62318,0.00196,0.00988,0.118,0.248,0,0,0.622,0.002,0.01
"5",0.03374,0.94468,NA,NA,0.01977,NA,0.00181,0.034,0.944,0,0,0.02,0,0.002
"6",0.0972,0.84064,NA,NA,0.0526,0.00211,0.00745,0.096,0.84,0,0,0.054,0.002,0.008
"7",0.01013,0.96743,NA,NA,0.02244,NA,NA,0.01,0.968,0,0,0.022,0,0
"8",0.02301,0.95766,NA,NA,0.01749,NA,0.00184,0.022,0.958,0,0,0.018,0,0.002
"9",0.04365,0.89631,NA,NA,0.04998,0.00398,0.00608,0.044,0.896,0,0,0.05,0.004,0.006
"10",0.02816,0.90059,NA,NA,0.06749,0.00376,NA,0.028,0.902,0,0,0.066,0.004,0
"11",NA,0.01408,0.00609,NA,0.97131,0.00652,0.002,0,0.014,0.006,0,0.972,0.006,0.002
"12",0.0264,0.96538,NA,NA,0.00822,NA,NA,0.026,0.966,0,0,0.008,0,0
"13",0.05811,0.2139,NA,NA,0.6943,0.00178,0.03191,0.058,0.212,0,0,0.696,0.002,0.032
"14",0.0019,0.02577,0.02205,0.0022,0.92642,0.02166,NA,0.002,0.026,0.022,0.002,0.926,0.022,0
"15",NA,0.00833,0.00191,NA,0.98355,0.00621,NA,0,0.008,0.002,0,0.984,0.006,0
"16",0.01604,0.21218,0.00402,NA,0.07113,0.6928,0.00383,0.016,0.212,0.004,0,0.07,0.694,0.004
"17",0.0513,0.84019,NA,NA,0.10047,0.00199,0.00605,0.052,0.838,0,0,0.102,0.002,0.006
"18",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"19",0.00402,0.01008,0.00195,NA,0.97225,0.0117,NA,0.004,0.01,0.002,0,0.972,0.012,0
"20",NA,0.00187,NA,NA,0.99813,NA,NA,0,0.002,0,0,0.998,0,0
"21",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"22",0.02606,0.95795,NA,NA,0.01599,NA,NA,0.026,0.958,0,0,0.016,0,0
"23",0.01202,0.10973,NA,NA,0.86604,0.00239,0.00982,0.012,0.11,0,0,0.866,0.002,0.01
"24",0.00201,NA,0.00203,NA,0.99596,NA,NA,0.002,0,0.002,0,0.996,0,0
"25",NA,0.01187,NA,NA,0.98431,0.00382,NA,0,0.012,0,0,0.984,0.004,0
"26",0.0019,0.00568,0.00413,NA,0.98829,NA,NA,0.002,0.006,0.004,0,0.988,0,0
"27",NA,NA,0.00976,NA,0.97869,0.01155,NA,0,0,0.01,0,0.978,0.012,0
"28",0.05442,0.94336,NA,NA,NA,NA,0.00222,0.054,0.944,0,0,0,0,0.002
"29",0.02374,0.97626,NA,NA,NA,NA,NA,0.024,0.976,0,0,0,0,0
"30",0.01243,0.09166,NA,NA,0.88447,NA,0.01144,0.012,0.092,0,0,0.884,0,0.012
"31",0.00816,0.01984,NA,NA,0.96428,0.00204,0.00568,0.008,0.02,0,0,0.964,0.002,0.006
"32",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"33",NA,0.00196,NA,NA,0.99593,0.00211,NA,0,0.002,0,0,0.996,0.002,0
"34",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"35",0.0018,0.00221,NA,NA,0.99599,NA,NA,0.002,0.002,0,0,0.996,0,0
"36",0.15032,0.8435,NA,NA,0.00409,NA,0.00209,0.15,0.844,0,0,0.004,0,0.002
"37",0.01017,0.0337,NA,NA,0.94367,0.00216,0.0103,0.01,0.034,0,0,0.944,0.002,0.01
"38",NA,0.00428,0.00235,NA,0.99337,NA,NA,0,0.004,0.002,0,0.994,0,0
"39",0.04325,0.08559,NA,NA,0.8589,0.00435,0.00791,0.044,0.086,0,0,0.858,0.004,0.008
"40",0.03993,0.79781,NA,NA,0.14004,0.02222,NA,0.04,0.798,0,0,0.14,0.022,0
"41",0.22483,0.71133,NA,NA,0.06179,NA,0.00205,0.226,0.712,0,0,0.06,0,0.002
"42",0.10845,0.1544,NA,NA,0.73151,0.00376,0.00188,0.108,0.156,0,0,0.73,0.004,0.002
"43",NA,NA,0.00217,NA,0.99783,NA,NA,0,0,0.002,0,0.998,0,0
"44",0.05705,0.80839,0.00867,0.00209,0.05077,0.07303,NA,0.058,0.81,0.008,0.002,0.05,0.072,0
"45",0.00821,0.98963,NA,NA,0.00216,NA,NA,0.008,0.99,0,0,0.002,0,0
"46",NA,0.00406,NA,NA,0.99594,NA,NA,0,0.004,0,0,0.996,0,0
"47",NA,0.00195,0.00413,NA,0.99204,0.00188,NA,0,0.002,0.004,0,0.992,0.002,0
"48",NA,0.00587,NA,NA,0.99215,0.00198,NA,0,0.006,0,0,0.992,0.002,0
"49",NA,0.00429,NA,NA,0.99571,NA,NA,0,0.004,0,0,0.996,0,0
"50",NA,NA,0.00197,NA,0.99803,NA,NA,0,0,0.002,0,0.998,0,0
"51",0.0202,0.053,NA,NA,0.91623,0.00586,0.00471,0.02,0.054,0,0,0.916,0.006,0.004
"52",0.29814,0.69177,NA,NA,NA,NA,0.01009,0.298,0.692,0,0,0,0,0.01
"53",0.17987,0.74196,NA,NA,0.07253,0.00199,0.00365,0.18,0.742,0,0,0.072,0.002,0.004
"54",0.00426,0.00786,0.00188,NA,0.97439,0.01161,NA,0.004,0.008,0.002,0,0.974,0.012,0
"55",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"56",0.14231,0.82368,NA,NA,0.02605,0.00591,0.00205,0.14,0.826,0,0,0.026,0.006,0.002
"57",NA,0.00578,0.00433,NA,0.98989,NA,NA,0,0.006,0.004,0,0.99,0,0
"58",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"59",NA,0.00545,0.00353,0.00213,0.98479,0.0041,NA,0,0.006,0.004,0.002,0.984,0.004,0
"60",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"61",NA,0.00213,NA,NA,0.99576,0.00211,NA,0,0.002,0,0,0.996,0.002,0
"62",0.02225,0.96425,NA,NA,0.00585,NA,0.00765,0.022,0.964,0,0,0.006,0,0.008
"63",0.00773,0.99227,NA,NA,NA,NA,NA,0.008,0.992,0,0,0,0,0
"64",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"65",0.00193,0.01185,0.00828,0.00165,0.95158,0.02247,0.00224,0.002,0.012,0.008,0.002,0.952,0.022,0.002
"66",NA,0.00182,NA,NA,0.99604,0.00214,NA,0,0.002,0,0,0.996,0.002,0
"67",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
"68",0.2394,0.75453,NA,NA,NA,NA,0.00607,0.24,0.754,0,0,0,0,0.006
"69",0.002,0.998,NA,NA,NA,NA,NA,0.002,0.998,0,0,0,0,0
"70",0.07157,0.87601,NA,NA,0.05242,NA,NA,0.07,0.878,0,0,0.052,0,0
"71",0.02464,0.96966,NA,NA,0.00397,NA,0.00173,0.024,0.97,0,0,0.004,0,0.002
"72",0.14536,0.85464,NA,NA,NA,NA,NA,0.144,0.856,0,0,0,0,0
"73",0.07255,0.90206,NA,NA,0.00791,NA,0.01748,0.072,0.902,0,0,0.008,0,0.018
"74",0.13695,0.8509,NA,NA,0.00585,0.0063,NA,0.138,0.85,0,0,0.006,0.006,0
"75",0.07271,0.89132,NA,NA,0.034,0.00197,NA,0.072,0.892,0,0,0.034,0.002,0
"76",0.03058,0.8365,NA,NA,0.05949,NA,0.07343,0.03,0.838,0,0,0.06,0,0.072
"77",0.05621,0.88328,NA,NA,0.05662,NA,0.00389,0.056,0.884,0,0,0.056,0,0.004
"78",0.07608,0.86747,NA,NA,0.03415,0.0223,NA,0.078,0.866,0,0,0.034,0.022,0
"79",0.06005,0.93995,NA,NA,NA,NA,NA,0.06,0.94,0,0,0,0,0
"80",0.04248,0.90226,NA,NA,0.03955,NA,0.01571,0.042,0.902,0,0,0.04,0,0.016
"81",0.03845,0.95944,NA,NA,NA,NA,0.00211,0.038,0.96,0,0,0,0,0.002
"82",0.02652,0.96116,NA,NA,0.00798,NA,0.00434,0.026,0.962,0,0,0.008,0,0.004
"83",0.26711,0.71736,NA,NA,NA,0.00205,0.01348,0.268,0.716,0,0,0,0.002,0.014
"84",0.23643,0.75349,NA,NA,0.002,NA,0.00808,0.238,0.752,0,0,0.002,0,0.008
"85",NA,0.00197,0.00164,NA,0.99639,NA,NA,0,0.002,0.002,0,0.996,0,0
"86",0.25284,0.74331,NA,NA,NA,NA,0.00385,0.252,0.744,0,0,0,0,0.004
"87",0.1333,0.86096,NA,NA,0.00184,NA,0.0039,0.134,0.86,0,0,0.002,0,0.004
"88",0.01579,0.97987,NA,NA,0.00213,NA,0.00221,0.016,0.98,0,0,0.002,0,0.002
"89",0.00591,0.99221,NA,NA,0.00188,NA,NA,0.006,0.992,0,0,0.002,0,0
